L,R,Rostral_L,Rostral_R,Neuro_L,Neuro_R,FNP_L,FNP_R,PA_L,PA_R,MES_L,MES_R
2,3,2,3,1,2,2,3,1,2,3,2
4,5,4,5,3,4,4,5,4,5,5,4
6,7,6,7,7,6,6,7,6,7,9,8
8,9,8,9,9,8,9,10,8,9,13,20
12,13,12,13,11,10,22,21,10,11,14,21
14,15,14,15,15,14,25,23,12,13,15,22
16,17,16,17,29,16,26,24,15,14,16,23
18,19,18,19,30,17,27,33,17,16,17,24
20,21,20,21,31,18,28,34,19,20,18,25
22,23,22,23,32,19,29,35,21,22,19,26
26,25,26,25,33,20,30,36,24,23,27,32
28,27,28,27,34,21,31,37,26,25,28,33
30,31,44,39,35,22,32,38,31,27,29,34
32,33,45,40,36,23,39,43,32,28,30,35
36,35,46,41,37,24,40,44,33,29,31,36
38,37,47,42,38,25,41,45,34,30,52,38
40,39,48,43,39,26,42,46,40,35,53,49
42,41,54,49,40,27,66,58,41,36,54,46
46,45,55,50,41,28,67,60,42,37,56,37
61,56,56,51,53,42,68,50,43,38,57,45
62,57,57,52,54,43,69,62,44,39,58,39
63,58,58,53,55,44,70,57,54,45,59,43
64,59,70,59,56,45,71,61,55,46,60,44
65,60,71,60,57,46,72,47,56,47,61,48
71,66,72,61,58,47,73,59,57,48,62,47
72,67,73,62,59,48,74,54,58,49,63,42
73,68,74,63,60,49,75,51,59,50,64,40
74,69,75,64,61,50,76,49,60,51,65,51
75,70,76,65,62,51,77,53,61,52,66,50
87,76,77,66,63,52,78,65,62,53,,
88,77,78,67,69,64,79,56,66,63,,
89,78,79,68,70,65,80,64,67,64,,
90,79,80,69,71,66,81,63,68,65,,
91,80,84,81,72,67,82,55,72,69,,
92,81,85,82,73,68,83,48,73,70,,
93,82,86,83,77,90,84,52,74,71,,
94,83,90,87,78,91,95,88,88,75,,
95,84,91,88,79,92,96,94,89,76,,
96,85,92,89,80,93,97,87,90,77,,
97,86,129,115,81,94,98,91,91,78,,
101,98,130,128,82,95,99,92,92,79,,
102,99,131,114,83,96,100,89,93,80,,
103,100,132,117,84,97,101,85,94,81,,
107,104,133,101,85,98,102,86,95,82,,
108,105,134,108,86,99,103,90,96,83,,
109,106,135,123,87,100,104,93,97,84,,
123,110,136,98,88,101,,,98,85,,
124,111,137,112,89,102,,,99,86,,
125,112,138,119,103,112,,,100,87,,
126,113,139,99,104,113,,,112,101,,
127,114,140,97,105,114,,,113,102,,
128,115,141,120,106,115,,,114,103,,
129,116,142,93,107,116,,,115,104,,
130,117,143,116,108,117,,,116,105,,
131,118,144,124,109,118,,,117,106,,
132,119,145,109,110,119,,,118,107,,
133,120,146,122,111,120,,,119,108,,
134,121,147,118,121,128,,,120,109,,
135,122,148,105,122,129,,,121,110,,
147,136,149,100,123,130,,,122,111,,
148,137,150,95,124,131,,,128,123,,
149,138,151,107,125,132,,,129,124,,
150,139,152,127,126,133,,,130,125,,
151,140,153,111,127,134,,,131,126,,
152,141,154,126,171,156,,,132,127,,
153,142,155,113,172,139,,,133,137,,
154,143,156,125,173,138,,,134,138,,
155,144,157,110,174,166,,,135,139,,
156,145,158,94,175,150,,,136,140,,
157,146,159,121,176,167,,,141,144,,
163,158,160,103,177,153,,,142,145,,
164,159,161,102,178,149,,,143,146,,
165,160,162,96,179,145,,,164,157,,
166,161,163,106,180,152,,,165,163,,
167,162,164,104,181,135,,,166,155,,
171,184,,,182,151,,,167,150,,
172,185,,,183,140,,,168,159,,
173,186,,,184,163,,,169,151,,
174,187,,,185,142,,,170,149,,
175,188,,,186,164,,,171,162,,
176,189,,,187,155,,,172,161,,
177,190,,,188,136,,,173,158,,
178,191,,,189,147,,,174,148,,
179,192,,,190,137,,,175,156,,
180,193,,,191,148,,,176,147,,
181,194,,,192,162,,,177,160,,
182,195,,,193,157,,,178,153,,
183,196,,,194,159,,,179,152,,
197,206,,,195,141,,,180,154,,
198,207,,,196,158,,,193,188,,
199,208,,,197,146,,,194,182,,
200,209,,,198,143,,,195,185,,
201,210,,,199,154,,,196,186,,
202,211,,,200,170,,,197,183,,
203,212,,,201,161,,,198,181,,
204,213,,,202,169,,,199,191,,
205,214,,,203,168,,,200,189,,
215,222,,,204,144,,,201,184,,
216,223,,,205,160,,,202,187,,
217,224,,,206,165,,,203,190,,
218,225,,,,,,,204,192,,
219,226,,,,,,,,,,
220,227,,,,,,,,,,
221,228,,,,,,,,,,
285,236,,,,,,,,,,
292,261,,,,,,,,,,
299,242,,,,,,,,,,
278,229,,,,,,,,,,
277,256,,,,,,,,,,
289,247,,,,,,,,,,
267,250,,,,,,,,,,
288,263,,,,,,,,,,
284,241,,,,,,,,,,
281,245,,,,,,,,,,
279,252,,,,,,,,,,
300,240,,,,,,,,,,
294,230,,,,,,,,,,
270,244,,,,,,,,,,
273,248,,,,,,,,,,
293,246,,,,,,,,,,
274,255,,,,,,,,,,
276,233,,,,,,,,,,
291,249,,,,,,,,,,
269,237,,,,,,,,,,
290,262,,,,,,,,,,
271,259,,,,,,,,,,
296,239,,,,,,,,,,
272,234,,,,,,,,,,
280,260,,,,,,,,,,
287,243,,,,,,,,,,
282,258,,,,,,,,,,
275,235,,,,,,,,,,
266,264,,,,,,,,,,
265,251,,,,,,,,,,
268,253,,,,,,,,,,
297,238,,,,,,,,,,
298,232,,,,,,,,,,
286,231,,,,,,,,,,
295,257,,,,,,,,,,
283,254,,,,,,,,,,
353,321,,,,,,,,,,
350,329,,,,,,,,,,
356,303,,,,,,,,,,
344,315,,,,,,,,,,
365,320,,,,,,,,,,
361,307,,,,,,,,,,
368,335,,,,,,,,,,
337,322,,,,,,,,,,
346,318,,,,,,,,,,
343,319,,,,,,,,,,
340,332,,,,,,,,,,
352,330,,,,,,,,,,
342,333,,,,,,,,,,
341,316,,,,,,,,,,
363,312,,,,,,,,,,
370,310,,,,,,,,,,
371,326,,,,,,,,,,
372,331,,,,,,,,,,
359,323,,,,,,,,,,
360,325,,,,,,,,,,
351,308,,,,,,,,,,
355,313,,,,,,,,,,
348,317,,,,,,,,,,
362,324,,,,,,,,,,
339,304,,,,,,,,,,
366,336,,,,,,,,,,
357,314,,,,,,,,,,
364,309,,,,,,,,,,
338,305,,,,,,,,,,
354,302,,,,,,,,,,
349,306,,,,,,,,,,
347,301,,,,,,,,,,
358,328,,,,,,,,,,
345,311,,,,,,,,,,
369,334,,,,,,,,,,
367,327,,,,,,,,,,
